,CBERT-R,CBERT-P,CBERT-F,BERTScore-R,BERTScore-P,BERTScore-F,BARTScore,R-1,R-2,R-L,,CBERT-R,CBERT-P,CBERT-F,BERTScore-R,BERTScore-P,BERTScore-F,BARTScore,R-1,R-2,R-L
15,0.73,0.46,0.57,0.83,0.79,0.81,0.33,0.07,0.03,0.04,,,,,,,,,,,
16,0.74,0.75,0.74,0.87,0.88,0.87,0.33,0.5,0.24,0.31,,,,,,,,,,,
17,0.83,0.64,0.72,0.87,0.81,0.84,0.35,0.2,0.07,0.11,,,,,,,,,,,
18,0.83,0.71,0.77,0.88,0.81,0.84,0.47,0.33,0.19,0.23,,,,,,,,,,,
19,0.9,0.58,0.7,0.85,0.78,0.81,0.43,0.08,0.05,0.05,,,,,,,,,,,
20,0.69,0.64,0.67,0.83,0.78,0.8,0.25,0.16,0.03,0.09,,,,,,,,,,,
21,0.82,0.58,0.68,0.91,0.83,0.87,0.56,0.27,0.15,0.21,,,,,,,,,,,
22,0.78,0.49,0.6,0.84,0.75,0.8,0.24,0.04,0.01,0.03,,,,,,,,,,,
23,0.75,0.56,0.64,0.86,0.78,0.82,0.35,0.15,0.07,0.1,,,,,,,,,,,
24,0.92,0.65,0.76,0.91,0.84,0.87,0.54,0.23,0.15,0.16,,,,,,,,,,,
25,0.89,0.87,0.88,0.86,0.83,0.85,0.45,0.58,0.31,0.34,,,,,,,,,,,
26,0.75,0.47,0.58,0.87,0.79,0.83,0.44,0.1,0.04,0.06,,,,,,,,,,,
27,0.68,0.68,0.68,0.82,0.79,0.81,0.25,0.33,0.07,0.14,,,,,,,,,,,
28,0.89,0.67,0.77,0.89,0.83,0.86,0.59,0.23,0.16,0.19,,,,,,,,,,,
29,0.65,0.53,0.58,0.84,0.77,0.8,0.34,0.12,0.02,0.06,,,,,,,,,,,
30,0.94,0.64,0.76,0.93,0.84,0.88,0.63,0.25,0.21,0.18,,,,,,,,,,,
31,0.81,0.57,0.67,0.87,0.79,0.83,0.41,0.12,0.06,0.07,,,,,,,,,,,
32,0.73,0.61,0.67,0.86,0.79,0.83,0.35,0.22,0.1,0.16,,,,,,,,,,,
33,0.87,0.74,0.8,0.9,0.85,0.87,0.52,0.29,0.19,0.2,,,,,,,,,,,
34,0.78,0.59,0.68,0.85,0.8,0.82,0.41,0.17,0.08,0.11,,,,,,,,,,,
35,0.91,0.68,0.78,0.87,0.83,0.85,0.42,0.26,0.14,0.16,,,,,,,,,,,
36,0.74,0.73,0.73,0.84,0.82,0.83,0.29,0.4,0.12,0.18,,,,,,,,,,,
37,0.88,0.68,0.77,0.82,0.81,0.81,0.49,0.23,0.14,0.17,,,,,,,,,,,
38,0.87,0.72,0.79,0.88,0.83,0.85,0.44,0.35,0.22,0.2,,,,,,,,,,,
39,0.75,0.72,0.73,0.85,0.82,0.84,0.3,0.51,0.22,0.29,,,,,,,,,,,
40,0.69,0.52,0.59,0.85,0.81,0.83,0.41,0.2,0.07,0.11,,,,,,,,,,,
41,0.76,0.52,0.62,0.85,0.79,0.82,0.31,0.2,0.05,0.1,,,,,,,,,,,
42,0.81,0.7,0.75,0.87,0.83,0.85,0.4,0.27,0.13,0.17,,,,,,,,,,,
43,0.81,0.62,0.7,0.86,0.8,0.83,0.33,0.09,0.05,0.07,,,,,,,,,,,
44,0.84,0.73,0.78,0.88,0.84,0.86,0.45,0.32,0.17,0.19,,,,,,,,,,,
45,0.81,0.67,0.73,0.85,0.78,0.81,0.37,0.24,0.13,0.13,,,,,,,,,,,
46,0.8,0.69,0.74,0.85,0.81,0.83,0.34,0.25,0.1,0.11,,,,,,,,,,,
47,0.88,0.59,0.71,0.89,0.83,0.86,0.49,0.21,0.13,0.12,,,,,,,,,,,
48,0.73,0.54,0.62,0.82,0.77,0.79,0.21,0.06,0.02,0.04,,,,,,,,,,,
49,0.73,0.6,0.66,0.86,0.81,0.83,0.37,0.18,0.07,0.11,,,,,,,,,,,
50,0.84,0.76,0.8,0.87,0.83,0.85,0.43,0.45,0.24,0.3,,,,,,,,,,,
51,0.84,0.76,0.8,0.88,0.87,0.87,0.49,0.61,0.29,0.32,,,,,,,,,,,
52,0.85,0.69,0.76,0.84,0.82,0.83,0.35,0.25,0.1,0.12,,,,,,,,,,,
53,0.8,0.65,0.72,0.86,0.81,0.83,0.32,0.25,0.06,0.12,,,,,,,,,,,
54,0.7,0.65,0.68,0.85,0.79,0.82,0.32,0.31,0.09,0.15,,,,,,,,,,,
55,0.74,0.51,0.6,0.88,0.79,0.84,0.44,0.12,0.05,0.1,,,,,,,,,,,
56,0.82,0.75,0.78,0.9,0.85,0.87,0.52,0.52,0.35,0.45,,,,,,,,,,,
