,CBERT-R,CBERT-P,CBERT-F,BERTScore-R,BERTScore-P,BERTScore-F,BARTScore,R-1,R-2,R-L,,CBERT-R,CBERT-P,CBERT-F,BERTScore-R,BERTScore-P,BERTScore-F,BARTScore,R-1,R-2,R-L
255,0.8,0.69,0.75,0.84,0.79,0.82,0.43,0.21,0.12,0.14,,,,,,,,,,,
256,0.8,0.5,0.61,0.84,0.78,0.81,0.37,0.11,0.05,0.07,,,,,,,,,,,
257,0.88,0.8,0.84,0.88,0.84,0.86,0.52,0.47,0.28,0.24,,,,,,,,,,,
258,0.77,0.67,0.72,0.84,0.81,0.83,0.38,0.32,0.15,0.18,,,,,,,,,,,
259,0.74,0.62,0.68,0.86,0.8,0.83,0.38,0.21,0.08,0.14,,,,,,,,,,,
260,0.84,0.6,0.7,0.87,0.81,0.84,0.41,0.18,0.1,0.14,,,,,,,,,,,
261,0.93,0.5,0.65,0.88,0.78,0.82,0.43,0.09,0.05,0.06,,,,,,,,,,,
262,0.76,0.57,0.65,0.84,0.81,0.83,0.3,0.16,0.06,0.08,,,,,,,,,,,
263,0.67,0.66,0.66,0.86,0.82,0.84,0.31,0.47,0.27,0.33,,,,,,,,,,,
264,0.79,0.75,0.77,0.85,0.82,0.84,0.33,0.41,0.16,0.21,,,,,,,,,,,
265,0.95,0.77,0.85,0.91,0.83,0.87,0.5,0.41,0.28,0.25,,,,,,,,,,,
266,0.87,0.78,0.83,0.89,0.85,0.87,0.43,0.52,0.28,0.35,,,,,,,,,,,
267,0.87,0.76,0.82,0.89,0.84,0.87,0.48,0.5,0.3,0.27,,,,,,,,,,,
268,0.75,0.56,0.64,0.85,0.81,0.83,0.3,0.18,0.07,0.09,,,,,,,,,,,
269,0.86,0.67,0.76,0.87,0.8,0.83,0.36,0.18,0.06,0.11,,,,,,,,,,,
270,0.94,0.79,0.86,0.86,0.83,0.84,0.62,0.33,0.26,0.31,,,,,,,,,,,
271,0.78,0.67,0.72,0.8,0.78,0.79,0.35,0.17,0.08,0.1,,,,,,,,,,,
272,0.84,0.72,0.77,0.85,0.84,0.84,0.39,0.34,0.17,0.19,,,,,,,,,,,
273,0.78,0.69,0.73,0.89,0.84,0.86,0.43,0.4,0.21,0.29,,,,,,,,,,,
274,0.78,0.64,0.7,0.86,0.8,0.83,0.33,0.18,0.07,0.1,,,,,,,,,,,
275,0.83,0.75,0.79,0.88,0.84,0.86,0.46,0.36,0.16,0.22,,,,,,,,,,,
276,0.88,0.8,0.84,0.85,0.82,0.84,0.42,0.31,0.16,0.19,,,,,,,,,,,
277,0.89,0.78,0.83,0.91,0.85,0.88,0.51,0.42,0.26,0.27,,,,,,,,,,,
278,0.8,0.62,0.7,0.85,0.81,0.83,0.36,0.18,0.06,0.1,,,,,,,,,,,
279,0.86,0.73,0.79,0.88,0.84,0.86,0.49,0.35,0.21,0.24,,,,,,,,,,,
280,0.79,0.62,0.69,0.87,0.82,0.84,0.44,0.28,0.12,0.15,,,,,,,,,,,
281,0.88,0.67,0.76,0.88,0.81,0.85,0.44,0.32,0.15,0.19,,,,,,,,,,,
282,0.85,0.4,0.55,0.89,0.76,0.82,0.52,0.03,0.02,0.02,,,,,,,,,,,
283,0.8,0.55,0.65,0.85,0.8,0.82,0.37,0.08,0.04,0.05,,,,,,,,,,,
284,0.9,0.83,0.86,0.93,0.9,0.92,0.64,0.54,0.43,0.5,,,,,,,,,,,
285,0.92,0.66,0.77,0.89,0.82,0.85,0.54,0.15,0.11,0.12,,,,,,,,,,,
286,0.89,0.47,0.61,0.87,0.78,0.82,0.4,0.06,0.03,0.04,,,,,,,,,,,
287,0.8,0.53,0.64,0.87,0.79,0.83,0.42,0.09,0.05,0.06,,,,,,,,,,,
288,0.83,0.86,0.85,0.88,0.88,0.88,0.38,0.72,0.41,0.47,,,,,,,,,,,
289,0.73,0.57,0.64,0.85,0.77,0.81,0.34,0.08,0.03,0.06,,,,,,,,,,,
290,0.88,0.67,0.76,0.91,0.82,0.86,0.52,0.24,0.14,0.14,,,,,,,,,,,
291,0.92,0.64,0.75,0.9,0.78,0.84,0.57,0.1,0.07,0.08,,,,,,,,,,,
292,0.83,0.67,0.74,0.86,0.8,0.83,0.4,0.23,0.1,0.14,,,,,,,,,,,
293,0.87,0.7,0.78,0.85,0.83,0.84,0.39,0.22,0.1,0.13,,,,,,,,,,,
294,0.85,0.65,0.73,0.87,0.8,0.83,0.38,0.23,0.12,0.12,,,,,,,,,,,
295,0.87,0.74,0.8,0.85,0.83,0.84,0.39,0.24,0.13,0.16,,,,,,,,,,,
296,0.71,0.41,0.52,0.86,0.76,0.8,0.23,0.05,0.01,0.04,,,,,,,,,,,
297,0.94,0.71,0.81,0.91,0.84,0.87,0.55,0.29,0.21,0.19,,,,,,,,,,,
298,0.87,0.79,0.83,0.9,0.86,0.88,0.55,0.5,0.35,0.41,,,,,,,,,,,
299,0.81,0.46,0.58,0.84,0.76,0.8,0.29,0.08,0.03,0.05,,,,,,,,,,,
300,0.81,0.54,0.65,0.86,0.77,0.82,0.3,0.04,0.01,0.03,,,,,,,,,,,
