,CBERT-R,CBERT-P,CBERT-F,BERTScore-R,BERTScore-P,BERTScore-F,BARTScore,R-1,R-2,R-L,,CBERT-R,CBERT-P,CBERT-F,BERTScore-R,BERTScore-P,BERTScore-F,BARTScore,R-1,R-2,R-L
256,0.8,0.58,0.67,0.86,0.8,0.83,0.44,0.19,0.1,0.11,,,,,,,,,,,
257,0.84,0.84,0.84,0.86,0.84,0.85,0.45,0.45,0.25,0.28,,,,,,,,,,,
258,0.46,0.54,0.5,0.8,0.8,0.8,0.28,0.36,0.09,0.26,,,,,,,,,,,
259,0.8,0.68,0.74,0.87,0.81,0.84,0.41,0.17,0.07,0.11,,,,,,,,,,,
260,0.94,0.64,0.76,0.85,0.79,0.81,0.54,0.11,0.07,0.09,,,,,,,,,,,
261,0.82,0.54,0.65,0.87,0.8,0.83,0.38,0.12,0.07,0.1,,,,,,,,,,,
262,0.72,0.63,0.68,0.85,0.81,0.83,0.35,0.19,0.08,0.13,,,,,,,,,,,
263,0.94,0.81,0.87,0.92,0.87,0.9,0.65,0.37,0.32,0.28,,,,,,,,,,,
264,0.8,0.77,0.78,0.87,0.84,0.85,0.41,0.47,0.23,0.22,,,,,,,,,,,
265,0.95,0.8,0.87,0.9,0.83,0.86,0.54,0.32,0.23,0.26,,,,,,,,,,,
266,0.85,0.91,0.88,0.9,0.88,0.89,0.48,0.56,0.37,0.49,,,,,,,,,,,
267,0.91,0.76,0.83,0.86,0.81,0.83,0.6,0.32,0.24,0.28,,,,,,,,,,,
268,0.86,0.71,0.77,0.9,0.85,0.87,0.53,0.3,0.2,0.16,,,,,,,,,,,
269,0.67,0.61,0.64,0.83,0.8,0.81,0.22,0.35,0.04,0.16,,,,,,,,,,,
270,0.95,0.77,0.85,0.83,0.81,0.82,0.54,0.24,0.19,0.2,,,,,,,,,,,
271,0.6,0.7,0.64,0.8,0.78,0.79,0.29,0.17,0.05,0.11,,,,,,,,,,,
272,0.8,0.76,0.78,0.84,0.84,0.84,0.39,0.36,0.19,0.2,,,,,,,,,,,
273,0.69,0.73,0.71,0.88,0.88,0.88,0.44,0.56,0.35,0.52,,,,,,,,,,,
274,0.67,0.6,0.63,0.85,0.81,0.83,0.26,0.26,0.07,0.12,,,,,,,,,,,
275,0.83,0.77,0.8,0.85,0.83,0.84,0.43,0.33,0.14,0.21,,,,,,,,,,,
276,0.86,0.83,0.84,0.84,0.82,0.83,0.42,0.29,0.15,0.16,,,,,,,,,,,
277,0.89,0.76,0.82,0.9,0.83,0.87,0.5,0.36,0.23,0.26,,,,,,,,,,,
278,0.79,0.71,0.75,0.89,0.84,0.87,0.46,0.33,0.16,0.18,,,,,,,,,,,
279,0.79,0.74,0.77,0.86,0.83,0.85,0.43,0.27,0.15,0.16,,,,,,,,,,,
280,0.68,0.63,0.65,0.85,0.84,0.84,0.37,0.31,0.14,0.18,,,,,,,,,,,
281,0.76,0.78,0.77,0.86,0.85,0.86,0.36,0.38,0.14,0.2,,,,,,,,,,,
282,0.51,0.31,0.38,0.89,0.79,0.84,0.42,0.13,0.06,0.1,,,,,,,,,,,
283,0.63,0.51,0.56,0.84,0.81,0.82,0.31,0.25,0.03,0.16,,,,,,,,,,,
284,0.95,0.89,0.92,0.95,0.92,0.94,0.72,0.71,0.62,0.66,,,,,,,,,,,
285,0.84,0.63,0.72,0.88,0.79,0.83,0.45,0.18,0.08,0.14,,,,,,,,,,,
286,0.72,0.5,0.59,0.86,0.81,0.83,0.35,0.13,0.05,0.08,,,,,,,,,,,
287,0.79,0.54,0.64,0.87,0.8,0.83,0.39,0.17,0.07,0.1,,,,,,,,,,,
288,0.79,0.88,0.83,0.87,0.87,0.87,0.35,0.71,0.36,0.39,,,,,,,,,,,
289,0.71,0.57,0.63,0.85,0.77,0.8,0.34,0.1,0.04,0.07,,,,,,,,,,,
290,0.68,0.62,0.65,0.85,0.82,0.83,0.33,0.25,0.07,0.14,,,,,,,,,,,
291,0.88,0.62,0.73,0.87,0.78,0.82,0.44,0.05,0.03,0.05,,,,,,,,,,,
292,0.72,0.68,0.7,0.85,0.83,0.84,0.4,0.37,0.17,0.21,,,,,,,,,,,
293,0.64,0.71,0.67,0.82,0.83,0.83,0.23,0.29,0.05,0.13,,,,,,,,,,,
294,0.89,0.67,0.76,0.84,0.78,0.81,0.46,0.19,0.12,0.12,,,,,,,,,,,
295,0.71,0.75,0.73,0.84,0.84,0.84,0.29,0.41,0.13,0.16,,,,,,,,,,,
296,0.74,0.41,0.53,0.85,0.75,0.8,0.26,0.04,0.01,0.02,,,,,,,,,,,
297,0.83,0.74,0.78,0.87,0.84,0.86,0.42,0.38,0.17,0.19,,,,,,,,,,,
298,0.77,0.74,0.75,0.86,0.82,0.84,0.44,0.4,0.21,0.28,,,,,,,,,,,
299,0.69,0.47,0.56,0.83,0.76,0.79,0.25,0.05,0.01,0.03,,,,,,,,,,,
