,CBERT-R,CBERT-P,CBERT-F,BERTScore-R,BERTScore-P,BERTScore-F,BARTScore,R-1,R-2,R-L,,CBERT-R,CBERT-P,CBERT-F,BERTScore-R,BERTScore-P,BERTScore-F,BARTScore,R-1,R-2,R-L
65,0.8,0.79,0.8,0.86,0.83,0.84,0.38,0.42,0.21,0.18,,,,,,,,,,,
66,0.79,0.78,0.79,0.86,0.83,0.84,0.34,0.46,0.21,0.24,,,,,,,,,,,
67,0.71,0.55,0.62,0.86,0.79,0.82,0.34,0.15,0.06,0.11,,,,,,,,,,,
68,0.88,0.76,0.81,0.88,0.83,0.86,0.47,0.36,0.21,0.27,,,,,,,,,,,
69,0.89,0.71,0.79,0.92,0.87,0.89,0.53,0.25,0.18,0.2,,,,,,,,,,,
70,0.84,0.8,0.82,0.89,0.86,0.87,0.5,0.39,0.24,0.26,,,,,,,,,,,
71,0.64,0.57,0.6,0.83,0.82,0.82,0.3,0.32,0.07,0.14,,,,,,,,,,,
72,0.87,0.74,0.8,0.88,0.83,0.85,0.42,0.24,0.11,0.14,,,,,,,,,,,
73,0.84,0.85,0.85,0.87,0.85,0.86,0.39,0.48,0.26,0.22,,,,,,,,,,,
74,0.69,0.66,0.68,0.82,0.78,0.8,0.25,0.18,0.05,0.11,,,,,,,,,,,
75,0.85,0.74,0.79,0.87,0.82,0.84,0.55,0.29,0.19,0.23,,,,,,,,,,,
76,0.81,0.72,0.76,0.87,0.85,0.86,0.41,0.51,0.29,0.32,,,,,,,,,,,
77,0.86,0.79,0.82,0.88,0.83,0.85,0.49,0.35,0.21,0.18,,,,,,,,,,,
78,0.53,0.49,0.51,0.8,0.79,0.8,0.23,0.14,0.01,0.09,,,,,,,,,,,
79,0.7,0.82,0.75,0.83,0.85,0.84,0.3,0.69,0.36,0.4,,,,,,,,,,,
80,0.84,0.81,0.82,0.88,0.86,0.87,0.45,0.6,0.38,0.37,,,,,,,,,,,
81,0.72,0.63,0.67,0.84,0.84,0.84,0.3,0.42,0.13,0.19,,,,,,,,,,,
82,0.84,0.64,0.72,0.85,0.79,0.82,0.4,0.19,0.08,0.1,,,,,,,,,,,
83,0.81,0.77,0.79,0.89,0.87,0.88,0.49,0.38,0.24,0.29,,,,,,,,,,,
84,0.86,0.65,0.74,0.88,0.81,0.84,0.55,0.15,0.11,0.12,,,,,,,,,,,
85,0.82,0.66,0.73,0.85,0.81,0.83,0.37,0.2,0.07,0.1,,,,,,,,,,,
86,0.79,0.65,0.71,0.82,0.79,0.8,0.37,0.2,0.08,0.11,,,,,,,,,,,
87,0.64,0.73,0.68,0.81,0.82,0.82,0.27,0.59,0.27,0.32,,,,,,,,,,,
88,0.69,0.73,0.71,0.83,0.84,0.83,0.26,0.49,0.13,0.23,,,,,,,,,,,
89,0.89,0.74,0.81,0.89,0.86,0.87,0.53,0.21,0.15,0.14,,,,,,,,,,,
90,0.79,0.76,0.77,0.83,0.83,0.83,0.29,0.46,0.16,0.19,,,,,,,,,,,
91,0.81,0.66,0.73,0.87,0.82,0.84,0.39,0.2,0.12,0.12,,,,,,,,,,,
92,0.83,0.64,0.72,0.91,0.8,0.85,0.49,0.19,0.14,0.09,,,,,,,,,,,
93,0.8,0.54,0.65,0.83,0.75,0.79,0.36,0.11,0.04,0.07,,,,,,,,,,,
94,0.59,0.58,0.59,0.83,0.79,0.81,0.32,0.23,0.06,0.14,,,,,,,,,,,
95,0.72,0.68,0.7,0.86,0.84,0.85,0.37,0.3,0.12,0.17,,,,,,,,,,,
96,0.76,0.67,0.71,0.85,0.8,0.82,0.29,0.2,0.08,0.1,,,,,,,,,,,
97,0.79,0.85,0.82,0.88,0.89,0.89,0.43,0.45,0.25,0.3,,,,,,,,,,,
98,0.74,0.84,0.79,0.85,0.88,0.86,0.42,0.76,0.48,0.41,,,,,,,,,,,
99,0.84,0.69,0.75,0.88,0.81,0.84,0.43,0.24,0.1,0.15,,,,,,,,,,,
100,0.19,0.26,0.22,0.81,0.73,0.77,0.2,0.11,0.02,0.09,,,,,,,,,,,
101,0.72,0.72,0.72,0.83,0.81,0.82,0.28,0.44,0.11,0.21,,,,,,,,,,,
102,0.81,0.61,0.7,0.87,0.78,0.82,0.25,0.1,0.03,0.06,,,,,,,,,,,
103,0.72,0.59,0.65,0.84,0.77,0.81,0.26,0.1,0.03,0.06,,,,,,,,,,,
104,0.6,0.64,0.62,0.82,0.8,0.81,0.29,0.35,0.09,0.16,,,,,,,,,,,
105,0.95,0.8,0.87,0.93,0.84,0.88,0.57,0.34,0.26,0.28,,,,,,,,,,,
106,0.76,0.7,0.73,0.87,0.86,0.86,0.41,0.53,0.27,0.33,,,,,,,,,,,
107,0.64,0.71,0.67,0.83,0.85,0.84,0.31,0.56,0.36,0.29,,,,,,,,,,,
108,0.78,0.71,0.75,0.85,0.81,0.83,0.38,0.2,0.07,0.13,,,,,,,,,,,
109,0.74,0.75,0.74,0.88,0.89,0.88,0.44,0.59,0.32,0.44,,,,,,,,,,,
110,0.82,0.71,0.76,0.91,0.85,0.88,0.49,0.34,0.25,0.3,,,,,,,,,,,
111,0.83,0.7,0.76,0.8,0.77,0.78,0.45,0.22,0.13,0.14,,,,,,,,,,,
112,0.66,0.51,0.58,0.85,0.79,0.82,0.26,0.11,0.02,0.08,,,,,,,,,,,
113,0.85,0.75,0.8,0.87,0.84,0.85,0.44,0.37,0.21,0.17,,,,,,,,,,,
114,0.8,0.68,0.73,0.86,0.82,0.84,0.44,0.27,0.15,0.14,,,,,,,,,,,
115,0.76,0.56,0.64,0.89,0.8,0.84,0.41,0.26,0.14,0.11,,,,,,,,,,,
116,0.8,0.65,0.72,0.88,0.81,0.85,0.39,0.25,0.1,0.16,,,,,,,,,,,
117,0.66,0.71,0.69,0.83,0.85,0.84,0.26,0.6,0.17,0.22,,,,,,,,,,,
118,0.7,0.72,0.71,0.84,0.83,0.84,0.29,0.52,0.15,0.23,,,,,,,,,,,
119,0.73,0.57,0.64,0.83,0.79,0.81,0.26,0.13,0.03,0.08,,,,,,,,,,,
120,0.83,0.63,0.72,0.89,0.82,0.85,0.45,0.25,0.1,0.16,,,,,,,,,,,
121,0.88,0.77,0.82,0.88,0.85,0.86,0.49,0.32,0.19,0.2,,,,,,,,,,,
122,0.74,0.66,0.7,0.85,0.84,0.85,0.38,0.32,0.14,0.16,,,,,,,,,,,
123,0.75,0.76,0.75,0.84,0.83,0.84,0.32,0.35,0.14,0.19,,,,,,,,,,,
124,0.81,0.78,0.79,0.86,0.82,0.84,0.43,0.35,0.2,0.19,,,,,,,,,,,
125,0.62,0.5,0.55,0.83,0.75,0.79,0.24,0.05,0.01,0.04,,,,,,,,,,,
126,0.66,0.58,0.62,0.85,0.75,0.8,0.37,0.05,0.02,0.04,,,,,,,,,,,
127,0.59,0.53,0.56,0.81,0.74,0.77,0.25,0.14,0.02,0.08,,,,,,,,,,,
128,0.85,0.7,0.77,0.87,0.85,0.86,0.48,0.35,0.19,0.24,,,,,,,,,,,
