,CBERT,BERTScore,BARTScore,R-1,R-2,R-L,,CBERT,BERTScore,BARTScore,R-1,R-2,R-L
414,0.85,0.89,0.41,0.31,0.17,0.19,,,,,,,
415,0.98,0.96,0.74,0.28,0.26,0.27,,,,,,,
416,0.87,0.89,0.49,0.37,0.22,0.24,,,,,,,
417,0.92,0.88,0.6,0.2,0.15,0.17,,,,,,,
418,0.93,0.94,0.68,0.3,0.26,0.29,,,,,,,
419,0.88,0.85,0.36,0.36,0.19,0.22,,,,,,,
420,0.86,0.88,0.38,0.23,0.09,0.13,,,,,,,
421,0.72,0.82,0.28,0.25,0.07,0.15,,,,,,,
422,0.85,0.87,0.35,0.15,0.07,0.1,,,,,,,
423,0.69,0.86,0.33,0.07,0.03,0.05,,,,,,,
424,0.88,0.86,0.42,0.24,0.14,0.15,,,,,,,
425,0.87,0.88,0.49,0.41,0.25,0.3,,,,,,,
426,0.72,0.85,0.34,0.47,0.17,0.23,,,,,,,
427,0.77,0.88,0.41,0.34,0.16,0.2,,,,,,,
428,0.63,0.82,0.24,0.15,0.05,0.09,,,,,,,
429,0.84,0.88,0.39,0.35,0.19,0.22,,,,,,,
430,0.52,0.83,0.25,0.08,0.03,0.06,,,,,,,
431,0.78,0.86,0.46,0.23,0.13,0.12,,,,,,,
432,0.64,0.82,0.24,0.03,0.01,0.02,,,,,,,
433,0.75,0.82,0.37,0.06,0.02,0.04,,,,,,,
434,0.84,0.84,0.33,0.27,0.13,0.15,,,,,,,
435,0.89,0.88,0.54,0.3,0.18,0.23,,,,,,,
436,0.81,0.86,0.43,0.54,0.33,0.35,,,,,,,
437,0.83,0.86,0.35,0.33,0.19,0.18,,,,,,,
438,0.89,0.89,0.57,0.39,0.28,0.32,,,,,,,
439,0.78,0.85,0.39,0.24,0.1,0.14,,,,,,,
440,0.79,0.86,0.33,0.3,0.15,0.17,,,,,,,
441,0.77,0.82,0.34,0.11,0.05,0.07,,,,,,,
442,0.77,0.84,0.22,0.07,0.03,0.05,,,,,,,
443,0.74,0.86,0.22,0.03,0,0.02,,,,,,,
444,0.73,0.82,0.27,0.15,0.05,0.1,,,,,,,
445,0.75,0.84,0.32,0.44,0.16,0.25,,,,,,,
446,0.75,0.85,0.32,0.2,0.08,0.11,,,,,,,
447,0.74,0.86,0.31,0.1,0.04,0.06,,,,,,,
448,0.62,0.81,0.17,0.05,0,0.04,,,,,,,
449,0.82,0.83,0.32,0.19,0.07,0.1,,,,,,,
450,0.84,0.84,0.37,0.38,0.19,0.21,,,,,,,
451,0.76,0.86,0.33,0.22,0.09,0.15,,,,,,,
452,0.49,0.81,0.24,0.05,0.01,0.03,,,,,,,
453,0.81,0.88,0.4,0.19,0.1,0.1,,,,,,,
454,0.81,0.87,0.34,0.37,0.12,0.18,,,,,,,
455,0.74,0.87,0.36,0.33,0.12,0.19,,,,,,,
456,0.77,0.85,0.3,0.11,0.04,0.07,,,,,,,
457,0.75,0.87,0.34,0.26,0.11,0.15,,,,,,,
458,0.76,0.86,0.33,0.36,0.13,0.16,,,,,,,
459,0.89,0.9,0.54,0.5,0.38,0.44,,,,,,,
460,0.81,0.86,0.25,0.33,0.11,0.18,,,,,,,
461,0.79,0.84,0.43,0.39,0.22,0.28,,,,,,,
462,0.78,0.86,0.36,0.68,0.34,0.35,,,,,,,
463,0.85,0.86,0.49,0.42,0.27,0.34,,,,,,,
464,0.58,0.82,0.25,0.07,0.01,0.05,,,,,,,
465,0.68,0.82,0.31,0.13,0.05,0.08,,,,,,,
466,0.84,0.85,0.41,0.16,0.07,0.08,,,,,,,
467,0.82,0.87,0.48,0.36,0.2,0.28,,,,,,,
468,0.81,0.85,0.33,0.32,0.12,0.15,,,,,,,
469,0.63,0.83,0.29,0.11,0.05,0.08,,,,,,,
470,0.87,0.86,0.44,0.19,0.09,0.12,,,,,,,
471,0.8,0.89,0.4,0.43,0.25,0.3,,,,,,,
472,0.87,0.88,0.44,0.36,0.21,0.18,,,,,,,
473,0.74,0.87,0.28,0.08,0.04,0.06,,,,,,,
474,0.68,0.84,0.31,0.45,0.17,0.24,,,,,,,
475,0.88,0.87,0.53,0.24,0.17,0.17,,,,,,,
476,0.84,0.86,0.39,0.36,0.16,0.19,,,,,,,
477,0.72,0.85,0.21,0.08,0.01,0.05,,,,,,,
478,0.84,0.82,0.46,0.41,0.23,0.28,,,,,,,
479,0.78,0.85,0.32,0.15,0.06,0.08,,,,,,,
480,0.91,0.87,0.47,0.07,0.05,0.06,,,,,,,
481,0.65,0.83,0.28,0.07,0.01,0.04,,,,,,,
482,0.81,0.86,0.34,0.21,0.09,0.12,,,,,,,
483,0.78,0.85,0.34,0.16,0.06,0.09,,,,,,,
484,0.84,0.89,0.47,0.41,0.27,0.26,,,,,,,
485,0.8,0.85,0.4,0.53,0.28,0.31,,,,,,,
486,0.77,0.89,0.41,0.32,0.12,0.15,,,,,,,
487,0.93,0.91,0.6,0.27,0.21,0.26,,,,,,,
488,0.72,0.84,0.31,0.23,0.06,0.1,,,,,,,
489,0.91,0.87,0.42,0.04,0.02,0.03,,,,,,,
490,0.84,0.89,0.52,0.39,0.27,0.31,,,,,,,
491,0.77,0.86,0.34,0.29,0.11,0.13,,,,,,,
492,0.84,0.89,0.45,0.3,0.16,0.23,,,,,,,
493,0.78,0.85,0.3,0.13,0.06,0.07,,,,,,,
494,0.72,0.83,0.27,0.16,0.06,0.12,,,,,,,
495,0.83,0.89,0.44,0.14,0.08,0.13,,,,,,,
496,0.81,0.89,0.42,0.33,0.17,0.18,,,,,,,
497,0.92,0.89,0.52,0.42,0.28,0.3,,,,,,,
498,0.63,0.85,0.17,0.11,0.01,0.06,,,,,,,
499,0.87,0.87,0.45,0.46,0.27,0.27,,,,,,,
