,CBERT,BERTScore,BARTScore,R-1,R-2,R-L,,CBERT,BERTScore,BARTScore,R-1,R-2,R-L
39,0.77,0.86,0.32,0.43,0.24,0.24,,,,,,,
40,0.68,0.87,0.42,0.31,0.11,0.17,,,,,,,
41,0.7,0.84,0.27,0.15,0.01,0.07,,,,,,,
42,0.71,0.86,0.33,0.3,0.13,0.17,,,,,,,
43,0.83,0.86,0.34,0.09,0.05,0.07,,,,,,,
44,0.91,0.92,0.64,0.57,0.41,0.47,,,,,,,
45,0.81,0.86,0.33,0.25,0.11,0.15,,,,,,,
46,0.82,0.86,0.36,0.18,0.08,0.1,,,,,,,
47,0.89,0.9,0.5,0.25,0.15,0.16,,,,,,,
48,0.74,0.81,0.2,0.06,0.02,0.04,,,,,,,
49,0.82,0.85,0.37,0.07,0.03,0.05,,,,,,,
50,0.83,0.86,0.39,0.4,0.18,0.19,,,,,,,
51,0.92,0.9,0.58,0.42,0.27,0.33,,,,,,,
52,0.9,0.87,0.44,0.26,0.15,0.16,,,,,,,
53,0.75,0.86,0.31,0.25,0.07,0.12,,,,,,,
54,0.74,0.86,0.35,0.24,0.09,0.11,,,,,,,
55,0.92,0.91,0.55,0.17,0.11,0.15,,,,,,,
56,0.82,0.89,0.52,0.4,0.27,0.36,,,,,,,
57,0.85,0.89,0.45,0.65,0.43,0.45,,,,,,,
58,0.71,0.84,0.27,0.14,0.04,0.06,,,,,,,
59,0.67,0.84,0.22,0.03,0.01,0.03,,,,,,,
60,0.81,0.88,0.39,0.23,0.12,0.15,,,,,,,
61,0.91,0.91,0.55,0.17,0.12,0.12,,,,,,,
62,0.91,0.89,0.46,0.23,0.11,0.14,,,,,,,
63,0.78,0.81,0.3,0.42,0.16,0.16,,,,,,,
64,0.89,0.9,0.45,0.39,0.25,0.26,,,,,,,
65,0.87,0.84,0.41,0.26,0.14,0.17,,,,,,,
66,0.81,0.83,0.29,0.26,0.08,0.12,,,,,,,
67,0.72,0.88,0.39,0.25,0.15,0.19,,,,,,,
68,0.75,0.85,0.28,0.27,0.11,0.13,,,,,,,
69,0.67,0.86,0.32,0.12,0.04,0.09,,,,,,,
70,0.89,0.86,0.56,0.3,0.22,0.22,,,,,,,
71,0.87,0.87,0.44,0.2,0.12,0.13,,,,,,,
72,0.88,0.89,0.43,0.22,0.11,0.13,,,,,,,
73,0.83,0.87,0.39,0.54,0.3,0.32,,,,,,,
