,CBERT,BERTScore,BARTScore,R-1,R-L,,CBERT,BERTScore,BARTScore,R-1,R-L
43,0.9,0.78,0.33,1,1,,,,,,
44,0.83,0.76,0.41,0.99,0.99,,,,,,
45,0.87,0.77,0.4,1,1,,,,,,
46,0.89,0.83,0.34,1,1,,,,,,
47,0.8,0.74,0.28,1,1,,,,,,
48,0.89,0.74,0.22,1,1,,,,,,
49,0.96,0.76,0.34,1,1,,,,,,
50,0.9,0.79,0.45,1,1,,,,,,
51,0.91,0.82,0.38,0.99,0.99,,,,,,
52,0.87,0.78,0.26,1,1,,,,,,
53,0.83,0.76,0.26,1,1,,,,,,
54,0.87,0.74,0.26,1,1,,,,,,
55,0.77,0.8,0.54,1,1,,,,,,
56,0.95,0.69,0.44,1,1,,,,,,
57,0.82,0.77,0.24,1,1,,,,,,
58,0.86,0.8,0.35,0.99,0.99,,,,,,
59,0.87,0.77,0.34,0.99,0.99,,,,,,
60,0.88,0.76,0.31,1,1,,,,,,
61,0.86,0.78,0.32,0.98,0.98,,,,,,
62,0.88,0.79,0.38,1,1,,,,,,
63,0.89,0.8,0.35,1,1,,,,,,
64,0.87,0.77,0.4,0.99,0.99,,,,,,
65,0.92,0.78,0.3,1,1,,,,,,
66,0.91,0.79,0.28,0.99,0.99,,,,,,
67,0.82,0.77,0.33,0.99,0.99,,,,,,
68,0.86,0.78,0.32,1,1,,,,,,
69,0.75,0.77,0.48,1,1,,,,,,
70,0.91,0.84,0.53,1,1,,,,,,
71,0.83,0.8,0.28,0.99,0.99,,,,,,
72,0.89,0.79,0.3,1,1,,,,,,
73,0.8,0.76,0.33,1,1,,,,,,
74,0.9,0.78,0.32,1,1,,,,,,
75,0.83,0.73,0.5,1,1,,,,,,
76,0.89,0.82,0.4,0.99,0.99,,,,,,
77,0.87,0.83,0.36,1,1,,,,,,
78,0.84,0.78,0.3,1,1,,,,,,
79,0.88,0.8,0.27,1,1,,,,,,
80,0.87,0.83,0.38,0.94,0.94,,,,,,
81,0.82,0.76,0.3,0.99,0.99,,,,,,
82,0.92,0.84,0.33,1,1,,,,,,
83,0.88,0.77,0.34,1,1,,,,,,
84,0.82,0.77,0.28,1,1,,,,,,
85,0.86,0.76,0.27,0.99,0.99,,,,,,
86,0.88,0.74,0.31,1,1,,,,,,
87,0.86,0.81,0.44,0.99,0.99,,,,,,
88,0.87,0.77,0.22,0.99,0.99,,,,,,
89,0.89,0.81,0.52,1,1,,,,,,
90,0.88,0.77,0.25,1,1,,,,,,
91,0.85,0.78,0.41,1,1,,,,,,
92,0.89,0.8,0.45,1,1,,,,,,
93,0.89,0.79,0.52,1,1,,,,,,
94,0.87,0.82,0.38,1,1,,,,,,
95,0.83,0.8,0.43,0.99,0.99,,,,,,
96,0.9,0.73,0.31,1,1,,,,,,
97,0.85,0.78,0.4,0.99,0.99,,,,,,
98,0.88,0.79,0.35,1,1,,,,,,
99,0.84,0.76,0.35,0.99,0.99,,,,,,
100,0.94,0.86,0.55,0.93,0.93,,,,,,
101,0.9,0.73,0.28,1,1,,,,,,
102,0.87,0.79,0.38,0.99,0.99,,,,,,
103,0.88,0.79,0.3,1,1,,,,,,
104,0.84,0.82,0.54,1,1,,,,,,
105,0.82,0.75,0.51,1,1,,,,,,
